image_path,expert,style,exposure,contrast,highlights,shadows,whites,blacks,temperature,tint,vibrance,saturation,sharpness,noise_reduction
data/fivek_web/inputs/a1384-dvf_095.dng,A,Vivid,-0.3781816071383955,27.310884335658294,13.61726462841034,-36.25093638896942,16.75971031188965,-27.79934525489807,0.45568764209747314,-18.474175930023193,3.034499287605285,2.2987717390060425,41.508963108062744,10.0
data/fivek_web/inputs/a1384-dvf_095.dng,C,Natural,0.2740609322995592,29.8460233308121,33.63725483417511,15.969204157590866,41.39969825744629,-6.642199754714966,7.084749937057495,-17.179183959960938,-22.70022439956665,-19.146831333637238,44.482390731573105,10.0
data/fivek_web/inputs/a1384-dvf_095.dng,E,Cinematic,0.5988586820516149,50.73762732595335,64.27748143672943,50.16776978969574,79.11074638366699,-4.321383833885193,19.457557797431946,-17.889862060546875,-47.265366196632385,-39.61778283119202,47.19989910721779,10.0
data/fivek_web/inputs/a1882-07-11-23-at-17h04m28s-_MG_6574.dng,A,Vivid,-0.22734237118293102,67.7223788836758,56.255375146865845,-25.933116376399994,69.23738479614258,-20.994760915637016,0.11644601821899414,-0.3794950246810913,43.746058106422424,35.655139088630676,54.1775906085968,10.0
data/fivek_web/inputs/a1882-07-11-23-at-17h04m28s-_MG_6574.dng,C,Natural,0.1087744363673225,41.711215973190654,39.43006455898285,-6.999406814575195,48.52931022644043,-14.096062779426575,-1.1569246649742126,-1.1986738443374634,15.870907664299011,12.425847053527832,50.498255491256714,10.0
data/fivek_web/inputs/a1882-07-11-23-at-17h04m28s-_MG_6574.dng,E,Cinematic,0.0015216764157373467,28.02172709498707,22.878969311714172,-9.728999733924866,28.15873146057129,-11.564673781394958,-27.782557010650635,-2.8871726989746094,50.220937848091125,41.05087220668793,51.66281998157501,7.8607179224491155
data/fivek_web/inputs/a4902-_DGW0251.dng,A,Vivid,0.33589975432593855,-6.470782246146878,-8.332805931568146,16.467890739440918,-10.25576114654541,2.7816158533096313,-13.057335019111633,2.5294464826583862,-18.971986174583435,-15.9398353099823,44.614999890327454,10.0
data/fivek_web/inputs/a4902-_DGW0251.dng,C,Natural,0.19217715180619388,-4.302337875433571,-10.228350758552551,8.214163184165955,-12.588739395141602,0.2667921595275402,-6.904172599315643,5.899631381034851,-28.54966390132904,-23.921233415603638,41.273323595523834,10.0
data/fivek_web/inputs/a4902-_DGW0251.dng,E,Cinematic,0.0934110196256491,-16.583476253410712,-31.24506711959839,12.452062517404556,-38.455467224121094,3.4073099493980408,-7.408540844917297,5.3557974100112915,-26.90599513053894,-22.55150943994522,39.92436021566391,10.0
data/fivek_web/inputs/a1525-jmac_MG_0646.dng,A,Vivid,0.023406130324628807,65.5116495154998,59.26633149385452,-14.927671942859888,72.94317722320557,-13.361192047595978,4.401536285877228,4.982283711433411,29.307215690612793,24.761011004447937,62.77558445930481,0.0
data/fivek_web/inputs/a1525-jmac_MG_0646.dng,C,Natural,0.14533617715438074,11.334639601850839,16.035111844539642,2.8325723484158516,19.735522270202637,5.192032754421234,5.482443273067474,6.364919543266296,6.950777530670166,6.1306458711624146,47.42963254451752,0.9965290874242783
